location,continent,Days,total_cases,total_cases_per_million,people_vaccinated,Total vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,Vaccinations performed as a percentage of population per day,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Denmark,Europe,69,"219,351","37,870","572,040","707,924",13.75,3.88,72.22,"5,792,203",0.1771%,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,7487921.428
Dominican Republic,North America,19,"244,923","22,578","606,006","363,374",5.59,,100,"10,847,904",0.1763%,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,3216312.059
Ecuador,South America,43,"297,957","16,888","69,030","56,819",0.43,0.04,93.52,"17,643,060",0.0075%,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,4690735.607
Egypt,Africa,6,"189,000","1,847",,"1,314",0,,84.26,"102,334,403",0.0002%,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,10976408.8
El Salvador,North America,8,"61,814","9,530","16,000","11,480",0.25,,100,"6,486,201",0.0221%,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,2677224.798
Estonia,Europe,68,"80,929","61,008","113,898","129,757",12.19,3.6,77.78,"1,326,539",0.1438%,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,8050654.829
Faeroe Islands,Europe,37,,,"4,260","8,326",16.51,7.79,59.26,"48,865",0.4605%,35.308,,,,,,,,,,,,80.67,,6374716.695
Falkland Islands,South America,15,,,"1,732","2,205",49.73,,,"3,483",4.2205%,,,,,,,,,,,,,81.44,,10490537.25
Finland,Europe,66,"64,609","11,661","539,618","621,539",11.28,1.54,67.59,"5,540,718",0.1700%,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,7823311.99
France,Europe,69,"4,050,558","62,055","4,337,343","5,484,624",9.47,3.08,87.96,"65,273,512",0.1218%,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,7665595.799
Germany,Europe,69,"2,546,526","30,394","5,978,551","7,326,098",10.4,3.27,85.19,"83,783,945",0.1267%,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,7861478.176
Gibraltar,Europe,56,,,"28,932","43,147",133.25,47.38,,"33,691",2.2869%,3457.1,,,,,,,,,,,,79.93,,7719148.876
Greece,Europe,69,"214,661","20,595","831,761","1,160,075",11.73,3.75,88.89,"10,423,056",0.1613%,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,9408884.435
Greenland,North America,34,,,"3,927","3,937",9.04,2.12,42.59,"56,772",0.2040%,0.137,,,,,,199.941,2.16,,,,,71.7,,4859892.198
Guatemala,North America,4,"181,143","10,111","2,427","3,606",0.01,,96.3,"17,915,567",0.0050%,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,2430009.451
Guernsey,Europe,38,,,"13,950","22,993",32.87,7.96,,"67,052",0.9024%,,,,,,,,,,,,,,,7175263.908
Guyana,South America,11,"8,993","11,433","1,852","1,846",0.24,,87.04,"786,559",0.0213%,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,5176527.176
Honduras,North America,1,"176,427","17,813","2,684","2,684",0.03,,100,"9,904,608",0.0271%,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,2607527.54
Hong Kong,Asia,10,,,"145,800","40,575",1.94,,71.3,"7,496,988",0.0541%,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,12699526.44
Hungary,Europe,69,"489,172","50,637","1,229,827","1,280,957",16.37,3.64,76.85,"9,660,350",0.1922%,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,8652064.765
