location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Guinea,Africa,17372,1322.796,,,,78.7,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,8991899.309
Guinea-Bissau,Africa,3380,1717.481,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,8385913.906
Haiti,"North America",12594,1104.491,,,,93.52,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,3041081.639
International,,721,,,,,,,,,,,,,,,,,,,,,NULL
Iraq,Asia,745642,18537.931,,,,96.3,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,11135866.45
Jamaica,"North America",28968,9782.649,,,,87.04,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2772361.985
Kenya,Africa,111185,2067.739,4000,0.01,,88.89,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,13721918.4
Kosovo,Europe,74708,38653.252,,,,92.59,1932774,168.155,,,,9795.834,0.6,,,,,,,,,9079345.525
Kyrgyzstan,Asia,86755,13297.434,,,,92.13,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,11255389.59
Laos,Asia,48,6.597,,,,96.3,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,13401340.92
Lesotho,Africa,10528,4914.455,,,,85.19,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,14817273.6
Liberia,Africa,2026,400.579,,,,87.96,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,9248242.086
Libya,Africa,142671,20763.359,,,,100,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,10078413.56
Madagascar,Africa,20155,727.853,,,,95.37,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,15850790.62
Malawi,Africa,32673,1707.95,,,,64.81,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,14411492.38
Mali,Africa,8782,433.661,,,,72.22,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,8988467.231
