location,continent,total_cases,total_cases_per_million,people_vaccinated,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Estonia,Europe,80929,61007.63,113898,12.19,3.6,77.78,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,8050654.829
"Faeroe Islands",Europe,,,4260,16.51,7.79,59.26,48865,35.308,,,,,,,,,,,,80.67,,6374716.695
"Falkland Islands","South America",,,1732,49.73,,,3483,,,,,,,,,,,,,81.44,,10490537.25
Finland,Europe,64609,11660.763,539618,11.28,1.54,67.59,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,7823311.99
France,Europe,4050558,62055.156,4337343,9.47,3.08,87.96,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,7665595.799
Germany,Europe,2546526,30393.962,5978551,10.4,3.27,85.19,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,7861478.176
Gibraltar,Europe,,,28932,133.25,47.38,,33691,3457.1,,,,,,,,,,,,79.93,,7719148.876
Greece,Europe,214661,20594.824,831761,11.73,3.75,88.89,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,9408884.435
Greenland,"North America",,,3927,9.04,2.12,42.59,56772,0.137,,,,,,199.941,2.16,,,,,71.7,,4859892.198
Guatemala,"North America",181143,10110.928,2427,0.01,,96.3,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,2430009.451
Guernsey,Europe,,,13950,32.87,7.96,,67052,,,,,,,,,,,,,,,7175263.908
Guyana,"South America",8993,11433.344,1852,0.24,,87.04,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,5176527.176
Honduras,"North America",176427,17812.618,2684,0.03,,100,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,2607527.54
"Hong Kong",Asia,,,145800,1.94,,71.3,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,12699526.44
Hungary,Europe,489172,50637.089,1229827,16.37,3.64,76.85,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,8652064.765
Iceland,Europe,6070,17787.546,33289,13.5,3.74,53.7,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,5713534.307
India,Asia,11308846,8194.79,21435841,1.9,0.34,100,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,13576677.18
Indonesia,Asia,1403722,5131.996,3696059,1.82,0.47,80.09,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,14961838.9
Iran,Asia,1723470,20519.221,10000,0.01,,80.09,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,11657902.49
Ireland,Europe,225179,45603.14,382528,10.87,3.12,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,6633133.57
"Isle of Man",Europe,,,19138,33.44,10.93,,85032,147.872,,,,,,,,,,,,81.4,,6818789.129
Israel,Asia,814250,94072.687,5110698,106.05,47,94.44,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,10860045.94
Italy,Europe,3149017,52082.729,4357997,10.29,3.08,93.52,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,8619068.151
Japan,Asia,443714,3508.273,180741,0.14,0,50.93,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,10150447.67
Jersey,Europe,,,36049,39.01,3.34,,101073,,,,,,,,,,,,,,,7217468.954
Jordan,Asia,457151,44804.933,50000,1.47,0.29,100,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,10981054.44
Kazakhstan,Asia,271363,14452.108,20157,0.12,0.01,92.13,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,10395995.71
Kuwait,Asia,205893,48212.144,322000,8.43,0.89,100,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,11694329.97
Latvia,Europe,92274,48920.529,72981,4.83,0.96,69.44,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,8165760.244
Lebanon,Asia,408909,59909.527,76883,1.35,0.22,92.59,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,10668985.03
Liechtenstein,Europe,2596,68070.378,,8.2,,,38137,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,8070144.428
Lithuania,Europe,203992,74933.944,241746,12.24,3.36,87.04,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,8265579.422
Luxembourg,Europe,57321,91570.603,36693,8.22,2.36,80.56,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,7694757.389
